<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;D;03/01/17;000000;157.7000000
GAZP;D;04/01/17;000000;157.4400000
GAZP;D;05/01/17;000000;154.0000000
GAZP;D;06/01/17;000000;154.1000000
GAZP;D;09/01/17;000000;154.4000000
GAZP;D;10/01/17;000000;157.9700000
GAZP;D;11/01/17;000000;157.0100000
GAZP;D;12/01/17;000000;157.2500000
GAZP;D;13/01/17;000000;157.9500000
GAZP;D;16/01/17;000000;155.8100000
GAZP;D;17/01/17;000000;153.6500000
GAZP;D;18/01/17;000000;152.8600000
GAZP;D;19/01/17;000000;150.8500000
GAZP;D;20/01/17;000000;149.7000000
GAZP;D;23/01/17;000000;148.1000000
GAZP;D;24/01/17;000000;150.1500000
GAZP;D;25/01/17;000000;147.6500000
GAZP;D;26/01/17;000000;150.4900000
GAZP;D;27/01/17;000000;154.0900000
GAZP;D;30/01/17;000000;150.8000000
GAZP;D;31/01/17;000000;149.8000000
GAZP;D;01/02/17;000000;149.6500000
GAZP;D;02/02/17;000000;148.8000000
GAZP;D;03/02/17;000000;149.3500000
GAZP;D;06/02/17;000000;148.5000000
GAZP;D;07/02/17;000000;148.7000000
GAZP;D;08/02/17;000000;145.2000000
GAZP;D;09/02/17;000000;142.1100000
GAZP;D;10/02/17;000000;140.5000000
GAZP;D;13/02/17;000000;141.2000000
GAZP;D;14/02/17;000000;140.6200000
GAZP;D;15/02/17;000000;139.7200000
GAZP;D;16/02/17;000000;139.1600000
GAZP;D;17/02/17;000000;138.1200000
GAZP;D;20/02/17;000000;138.5000000
GAZP;D;21/02/17;000000;138.3500000
GAZP;D;22/02/17;000000;136.6800000
GAZP;D;24/02/17;000000;136.7500000
GAZP;D;27/02/17;000000;135.0700000
GAZP;D;28/02/17;000000;134.0000000
GAZP;D;01/03/17;000000;133.8500000
GAZP;D;02/03/17;000000;131.3000000
GAZP;D;03/03/17;000000;134.8000000
GAZP;D;06/03/17;000000;134.6000000
GAZP;D;07/03/17;000000;132.8900000
GAZP;D;09/03/17;000000;129.0000000
GAZP;D;10/03/17;000000;128.7800000
GAZP;D;13/03/17;000000;129.9300000
GAZP;D;14/03/17;000000;128.8000000
