<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
LKOH;D;03/01/17;000000;3575.0000000
LKOH;D;04/01/17;000000;3479.5000000
LKOH;D;05/01/17;000000;3379.0000000
LKOH;D;06/01/17;000000;3365.0000000
LKOH;D;09/01/17;000000;3384.5000000
LKOH;D;10/01/17;000000;3399.0000000
LKOH;D;11/01/17;000000;3394.5000000
LKOH;D;12/01/17;000000;3300.0000000
LKOH;D;13/01/17;000000;3290.0000000
LKOH;D;16/01/17;000000;3240.0000000
LKOH;D;17/01/17;000000;3233.0000000
LKOH;D;18/01/17;000000;3224.0000000
LKOH;D;19/01/17;000000;3195.0000000
LKOH;D;20/01/17;000000;3180.0000000
LKOH;D;23/01/17;000000;3176.5000000
LKOH;D;24/01/17;000000;3190.0000000
LKOH;D;25/01/17;000000;3215.0000000
LKOH;D;26/01/17;000000;3376.5000000
LKOH;D;27/01/17;000000;3486.0000000
LKOH;D;30/01/17;000000;3408.0000000
LKOH;D;31/01/17;000000;3370.0000000
LKOH;D;01/02/17;000000;3375.0000000
LKOH;D;02/02/17;000000;3364.5000000
LKOH;D;03/02/17;000000;3370.5000000
LKOH;D;06/02/17;000000;3338.0000000
LKOH;D;07/02/17;000000;3379.0000000
LKOH;D;08/02/17;000000;3299.0000000
LKOH;D;09/02/17;000000;3266.5000000
LKOH;D;10/02/17;000000;3245.5000000
LKOH;D;13/02/17;000000;3279.0000000
LKOH;D;14/02/17;000000;3250.0000000
LKOH;D;15/02/17;000000;3211.0000000
LKOH;D;16/02/17;000000;3232.0000000
LKOH;D;17/02/17;000000;3198.5000000
LKOH;D;20/02/17;000000;3180.0000000
LKOH;D;21/02/17;000000;3199.5000000
LKOH;D;22/02/17;000000;3175.5000000
LKOH;D;24/02/17;000000;3184.0000000
LKOH;D;27/02/17;000000;3135.0000000
LKOH;D;28/02/17;000000;3086.0000000
LKOH;D;01/03/17;000000;3120.0000000
LKOH;D;02/03/17;000000;3086.0000000
LKOH;D;03/03/17;000000;3085.0000000
LKOH;D;06/03/17;000000;3078.5000000
LKOH;D;07/03/17;000000;3070.0000000
LKOH;D;09/03/17;000000;2970.0000000
LKOH;D;10/03/17;000000;3028.0000000
LKOH;D;13/03/17;000000;3051.0000000
LKOH;D;14/03/17;000000;3080.0000000
LKOH;D;15/03/17;000000;3088.0000000
LKOH;D;16/03/17;000000;3095.0000000
LKOH;D;17/03/17;000000;3130.0000000
LKOH;D;20/03/17;000000;3092.5000000
LKOH;D;21/03/17;000000;3101.0000000
LKOH;D;22/03/17;000000;3120.5000000
LKOH;D;23/03/17;000000;3066.0000000
LKOH;D;24/03/17;000000;3017.5000000
LKOH;D;27/03/17;000000;3003.0000000
LKOH;D;28/03/17;000000;3055.0000000
LKOH;D;29/03/17;000000;3061.0000000
LKOH;D;30/03/17;000000;2982.0000000
LKOH;D;31/03/17;000000;2981.0000000
LKOH;D;03/04/17;000000;3026.5000000
LKOH;D;04/04/17;000000;3050.0000000
LKOH;D;05/04/17;000000;3057.0000000
LKOH;D;06/04/17;000000;3057.5000000
LKOH;D;07/04/17;000000;2991.0000000
LKOH;D;10/04/17;000000;2956.0000000
LKOH;D;11/04/17;000000;2968.0000000
LKOH;D;12/04/17;000000;2949.5000000
LKOH;D;13/04/17;000000;2910.0000000
LKOH;D;14/04/17;000000;2864.5000000
LKOH;D;17/04/17;000000;2880.0000000
LKOH;D;18/04/17;000000;2828.5000000
LKOH;D;19/04/17;000000;2859.0000000
LKOH;D;20/04/17;000000;2858.0000000
LKOH;D;21/04/17;000000;2850.0000000
LKOH;D;24/04/17;000000;2919.0000000
LKOH;D;25/04/17;000000;2957.0000000
LKOH;D;26/04/17;000000;2970.0000000
LKOH;D;27/04/17;000000;2885.0000000
LKOH;D;28/04/17;000000;2818.0000000
LKOH;D;02/05/17;000000;2864.0000000
LKOH;D;03/05/17;000000;2770.0000000
LKOH;D;04/05/17;000000;2780.0000000
LKOH;D;05/05/17;000000;2811.5000000
LKOH;D;10/05/17;000000;2917.0000000
LKOH;D;11/05/17;000000;2840.0000000
LKOH;D;12/05/17;000000;2856.0000000
LKOH;D;15/05/17;000000;2876.0000000
LKOH;D;16/05/17;000000;2890.5000000
LKOH;D;17/05/17;000000;2870.0000000
LKOH;D;18/05/17;000000;2877.0000000
LKOH;D;19/05/17;000000;2850.0000000
LKOH;D;22/05/17;000000;2811.0000000
LKOH;D;23/05/17;000000;2825.0000000
LKOH;D;24/05/17;000000;2804.0000000
LKOH;D;25/05/17;000000;2798.0000000
LKOH;D;26/05/17;000000;2796.5000000
LKOH;D;29/05/17;000000;2794.5000000
LKOH;D;30/05/17;000000;2825.0000000
LKOH;D;31/05/17;000000;2753.0000000
LKOH;D;01/06/17;000000;2700.0000000
LKOH;D;02/06/17;000000;2734.0000000
LKOH;D;05/06/17;000000;2734.5000000
LKOH;D;06/06/17;000000;2721.5000000
LKOH;D;07/06/17;000000;2705.0000000
LKOH;D;08/06/17;000000;2735.0000000
LKOH;D;09/06/17;000000;2774.0000000
LKOH;D;13/06/17;000000;2760.5000000
LKOH;D;14/06/17;000000;2730.0000000
LKOH;D;15/06/17;000000;2712.0000000
LKOH;D;16/06/17;000000;2685.0000000
LKOH;D;19/06/17;000000;2779.5000000
LKOH;D;20/06/17;000000;2769.0000000
LKOH;D;21/06/17;000000;2728.5000000
LKOH;D;22/06/17;000000;2760.5000000
LKOH;D;23/06/17;000000;2775.0000000
LKOH;D;26/06/17;000000;2767.0000000
LKOH;D;27/06/17;000000;2800.0000000
LKOH;D;28/06/17;000000;2874.5000000
LKOH;D;29/06/17;000000;2873.0000000
LKOH;D;30/06/17;000000;2872.5000000
LKOH;D;03/07/17;000000;2920.0000000
LKOH;D;04/07/17;000000;2933.0000000
LKOH;D;05/07/17;000000;2951.5000000
LKOH;D;06/07/17;000000;2985.0000000
LKOH;D;07/07/17;000000;2856.0000000
LKOH;D;10/07/17;000000;2859.0000000
LKOH;D;11/07/17;000000;2875.0000000
LKOH;D;12/07/17;000000;2914.5000000
LKOH;D;13/07/17;000000;2908.5000000
LKOH;D;14/07/17;000000;2923.0000000
LKOH;D;17/07/17;000000;2880.0000000
LKOH;D;18/07/17;000000;2840.0000000
LKOH;D;19/07/17;000000;2896.0000000
LKOH;D;20/07/17;000000;2896.0000000
LKOH;D;21/07/17;000000;2842.0000000
LKOH;D;24/07/17;000000;2826.5000000
LKOH;D;25/07/17;000000;2835.0000000
LKOH;D;26/07/17;000000;2833.0000000
LKOH;D;27/07/17;000000;2851.5000000
LKOH;D;28/07/17;000000;2794.0000000
LKOH;D;31/07/17;000000;2797.5000000
LKOH;D;01/08/17;000000;2864.5000000
LKOH;D;02/08/17;000000;2938.0000000
LKOH;D;03/08/17;000000;2930.0000000
LKOH;D;04/08/17;000000;2903.0000000
LKOH;D;07/08/17;000000;2917.5000000
LKOH;D;08/08/17;000000;2974.0000000
LKOH;D;09/08/17;000000;2939.0000000
LKOH;D;10/08/17;000000;2901.5000000
LKOH;D;11/08/17;000000;2860.0000000
LKOH;D;14/08/17;000000;2883.5000000
LKOH;D;15/08/17;000000;2874.0000000
LKOH;D;16/08/17;000000;2846.5000000
LKOH;D;17/08/17;000000;2841.0000000
LKOH;D;18/08/17;000000;2829.0000000
LKOH;D;21/08/17;000000;2854.5000000
LKOH;D;22/08/17;000000;2897.0000000
LKOH;D;23/08/17;000000;2893.5000000
LKOH;D;24/08/17;000000;2894.0000000
LKOH;D;25/08/17;000000;2915.0000000
LKOH;D;28/08/17;000000;2920.0000000
LKOH;D;29/08/17;000000;2894.0000000
LKOH;D;30/08/17;000000;2905.0000000
LKOH;D;31/08/17;000000;2940.5000000
LKOH;D;01/09/17;000000;2915.0000000
LKOH;D;04/09/17;000000;2895.0000000
LKOH;D;05/09/17;000000;2883.5000000
LKOH;D;06/09/17;000000;2919.0000000
LKOH;D;07/09/17;000000;2876.0000000
LKOH;D;08/09/17;000000;2925.0000000
LKOH;D;11/09/17;000000;2909.0000000
LKOH;D;12/09/17;000000;2961.5000000
LKOH;D;13/09/17;000000;2938.0000000
LKOH;D;14/09/17;000000;2970.0000000
LKOH;D;15/09/17;000000;2978.5000000
LKOH;D;18/09/17;000000;3032.5000000
LKOH;D;19/09/17;000000;3025.0000000
LKOH;D;20/09/17;000000;2985.0000000
LKOH;D;21/09/17;000000;2991.5000000
LKOH;D;22/09/17;000000;2970.0000000
LKOH;D;25/09/17;000000;3039.5000000
LKOH;D;26/09/17;000000;3022.0000000
LKOH;D;27/09/17;000000;3064.5000000
LKOH;D;28/09/17;000000;3065.0000000
LKOH;D;29/09/17;000000;3064.0000000
LKOH;D;02/10/17;000000;3044.5000000
LKOH;D;03/10/17;000000;3054.0000000
LKOH;D;04/10/17;000000;3038.5000000
LKOH;D;05/10/17;000000;3054.0000000
LKOH;D;06/10/17;000000;3060.0000000
LKOH;D;09/10/17;000000;3052.5000000
LKOH;D;10/10/17;000000;3037.5000000
LKOH;D;11/10/17;000000;3040.0000000
LKOH;D;12/10/17;000000;3035.0000000
LKOH;D;13/10/17;000000;3018.0000000
LKOH;D;16/10/17;000000;3020.0000000
LKOH;D;17/10/17;000000;3003.0000000
LKOH;D;18/10/17;000000;3011.0000000
LKOH;D;19/10/17;000000;2985.0000000
LKOH;D;20/10/17;000000;2994.0000000
LKOH;D;23/10/17;000000;2997.0000000
LKOH;D;24/10/17;000000;3018.0000000
LKOH;D;25/10/17;000000;3005.0000000
LKOH;D;26/10/17;000000;2996.0000000
LKOH;D;27/10/17;000000;3064.5000000
LKOH;D;30/10/17;000000;3058.0000000
LKOH;D;31/10/17;000000;3096.0000000
LKOH;D;01/11/17;000000;3144.5000000
LKOH;D;02/11/17;000000;3150.0000000
LKOH;D;03/11/17;000000;3168.5000000
LKOH;D;07/11/17;000000;3325.0000000
LKOH;D;08/11/17;000000;3336.0000000
LKOH;D;09/11/17;000000;3368.0000000
LKOH;D;10/11/17;000000;3344.5000000
LKOH;D;13/11/17;000000;3326.0000000
LKOH;D;14/11/17;000000;3325.0000000
LKOH;D;15/11/17;000000;3296.0000000
LKOH;D;16/11/17;000000;3304.0000000
LKOH;D;17/11/17;000000;3304.5000000
LKOH;D;20/11/17;000000;3281.0000000
LKOH;D;21/11/17;000000;3319.5000000
LKOH;D;22/11/17;000000;3369.0000000
LKOH;D;23/11/17;000000;3380.0000000
LKOH;D;24/11/17;000000;3395.0000000
LKOH;D;27/11/17;000000;3365.0000000
LKOH;D;28/11/17;000000;3343.0000000
LKOH;D;29/11/17;000000;3308.5000000
LKOH;D;30/11/17;000000;3292.5000000
LKOH;D;01/12/17;000000;3344.0000000
