<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
MOBB;D;03/01/17;000000;5.9000000
MOBB;D;04/01/17;000000;5.8600000
MOBB;D;05/01/17;000000;5.8100000
MOBB;D;06/01/17;000000;5.9200000
MOBB;D;09/01/17;000000;5.8800000
MOBB;D;10/01/17;000000;5.8800000
MOBB;D;11/01/17;000000;5.8900000
MOBB;D;12/01/17;000000;5.9000000
MOBB;D;13/01/17;000000;5.8700000
MOBB;D;16/01/17;000000;5.8900000
MOBB;D;17/01/17;000000;5.9000000
MOBB;D;18/01/17;000000;5.8900000
MOBB;D;19/01/17;000000;5.9000000
MOBB;D;20/01/17;000000;5.8900000
MOBB;D;23/01/17;000000;5.8700000
MOBB;D;24/01/17;000000;5.7400000
MOBB;D;25/01/17;000000;5.7100000
MOBB;D;26/01/17;000000;5.6200000
MOBB;D;27/01/17;000000;5.5800000
MOBB;D;30/01/17;000000;5.5200000
MOBB;D;31/01/17;000000;5.3900000
MOBB;D;01/02/17;000000;5.3800000
MOBB;D;02/02/17;000000;5.4800000
MOBB;D;03/02/17;000000;5.4800000
MOBB;D;06/02/17;000000;5.4300000
MOBB;D;07/02/17;000000;5.3700000
MOBB;D;08/02/17;000000;5.3600000
MOBB;D;09/02/17;000000;5.2700000
MOBB;D;10/02/17;000000;5.2700000
MOBB;D;13/02/17;000000;5.5200000
MOBB;D;14/02/17;000000;5.5200000
MOBB;D;15/02/17;000000;5.4600000
MOBB;D;16/02/17;000000;5.3600000
MOBB;D;17/02/17;000000;5.3500000
MOBB;D;20/02/17;000000;5.2800000
MOBB;D;21/02/17;000000;5.3200000
MOBB;D;22/02/17;000000;5.3800000
MOBB;D;24/02/17;000000;5.2800000
MOBB;D;27/02/17;000000;5.1600000
MOBB;D;28/02/17;000000;5.1200000
MOBB;D;01/03/17;000000;5.2000000
MOBB;D;02/03/17;000000;5.1000000
MOBB;D;03/03/17;000000;5.0400000
MOBB;D;06/03/17;000000;4.9400000
MOBB;D;07/03/17;000000;4.8800000
MOBB;D;09/03/17;000000;4.5900000
MOBB;D;10/03/17;000000;4.8500000
MOBB;D;13/03/17;000000;4.9400000
MOBB;D;14/03/17;000000;4.9200000
MOBB;D;15/03/17;000000;4.9100000
MOBB;D;16/03/17;000000;5.2100000
MOBB;D;17/03/17;000000;5.2800000
MOBB;D;20/03/17;000000;5.2500000
MOBB;D;21/03/17;000000;5.0800000
MOBB;D;22/03/17;000000;4.9900000
MOBB;D;23/03/17;000000;4.9900000
MOBB;D;24/03/17;000000;4.9900000
MOBB;D;27/03/17;000000;4.9100000
MOBB;D;28/03/17;000000;4.8300000
MOBB;D;29/03/17;000000;4.8100000
MOBB;D;30/03/17;000000;4.9800000
MOBB;D;31/03/17;000000;4.9900000
MOBB;D;03/04/17;000000;4.8900000
MOBB;D;04/04/17;000000;4.8100000
