<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ROSN;D;03/01/17;000000;419.5000000
ROSN;D;04/01/17;000000;406.4000000
ROSN;D;05/01/17;000000;399.0000000
ROSN;D;06/01/17;000000;392.5000000
ROSN;D;09/01/17;000000;394.0000000
ROSN;D;10/01/17;000000;404.4000000
ROSN;D;11/01/17;000000;397.5000000
ROSN;D;12/01/17;000000;390.9500000
ROSN;D;13/01/17;000000;388.0000000
ROSN;D;16/01/17;000000;392.2000000
ROSN;D;17/01/17;000000;391.7000000
ROSN;D;18/01/17;000000;387.0000000
ROSN;D;19/01/17;000000;380.7500000
ROSN;D;20/01/17;000000;387.5000000
ROSN;D;23/01/17;000000;390.2000000
ROSN;D;24/01/17;000000;388.1500000
ROSN;D;25/01/17;000000;383.7000000
ROSN;D;26/01/17;000000;389.0000000
ROSN;D;27/01/17;000000;402.0000000
ROSN;D;30/01/17;000000;399.0000000
ROSN;D;31/01/17;000000;400.6000000
ROSN;D;01/02/17;000000;401.5000000
ROSN;D;02/02/17;000000;397.3000000
ROSN;D;03/02/17;000000;397.8500000
ROSN;D;06/02/17;000000;394.0000000
ROSN;D;07/02/17;000000;389.7000000
ROSN;D;08/02/17;000000;378.0500000
ROSN;D;09/02/17;000000;379.8000000
ROSN;D;10/02/17;000000;377.6000000
ROSN;D;13/02/17;000000;379.0000000
ROSN;D;14/02/17;000000;369.8500000
ROSN;D;15/02/17;000000;360.0000000
ROSN;D;16/02/17;000000;362.0000000
ROSN;D;17/02/17;000000;354.0000000
ROSN;D;20/02/17;000000;349.0000000
ROSN;D;21/02/17;000000;354.0000000
ROSN;D;22/02/17;000000;347.0000000
ROSN;D;24/02/17;000000;343.0000000
ROSN;D;27/02/17;000000;331.0500000
ROSN;D;28/02/17;000000;331.1000000
ROSN;D;01/03/17;000000;341.8000000
ROSN;D;02/03/17;000000;336.6000000
ROSN;D;03/03/17;000000;336.5000000
ROSN;D;06/03/17;000000;332.0000000
ROSN;D;07/03/17;000000;329.1000000
ROSN;D;09/03/17;000000;318.8500000
ROSN;D;10/03/17;000000;315.0000000
ROSN;D;13/03/17;000000;318.2500000
ROSN;D;14/03/17;000000;315.4000000
ROSN;D;15/03/17;000000;314.7000000
ROSN;D;16/03/17;000000;313.9500000
ROSN;D;17/03/17;000000;314.4500000
ROSN;D;20/03/17;000000;311.1500000
ROSN;D;21/03/17;000000;316.0000000
ROSN;D;22/03/17;000000;320.3500000
ROSN;D;23/03/17;000000;317.9500000
ROSN;D;24/03/17;000000;315.6500000
ROSN;D;27/03/17;000000;309.8000000
ROSN;D;28/03/17;000000;314.6000000
ROSN;D;29/03/17;000000;322.2000000
ROSN;D;30/03/17;000000;328.7000000
ROSN;D;31/03/17;000000;323.5000000
ROSN;D;03/04/17;000000;328.4000000
ROSN;D;04/04/17;000000;331.7000000
ROSN;D;05/04/17;000000;338.2000000
ROSN;D;06/04/17;000000;337.9500000
ROSN;D;07/04/17;000000;335.9500000
ROSN;D;10/04/17;000000;327.2000000
ROSN;D;11/04/17;000000;330.5000000
ROSN;D;12/04/17;000000;325.1000000
ROSN;D;13/04/17;000000;321.9000000
ROSN;D;14/04/17;000000;315.7500000
ROSN;D;17/04/17;000000;323.2500000
ROSN;D;18/04/17;000000;318.4000000
ROSN;D;19/04/17;000000;315.0500000
ROSN;D;20/04/17;000000;316.6000000
ROSN;D;21/04/17;000000;317.4000000
ROSN;D;24/04/17;000000;320.3000000
ROSN;D;25/04/17;000000;320.1500000
ROSN;D;26/04/17;000000;326.0500000
ROSN;D;27/04/17;000000;318.3500000
ROSN;D;28/04/17;000000;317.2500000
ROSN;D;02/05/17;000000;316.0000000
ROSN;D;03/05/17;000000;311.6500000
ROSN;D;04/05/17;000000;310.0000000
ROSN;D;05/05/17;000000;312.4500000
ROSN;D;10/05/17;000000;315.0500000
ROSN;D;11/05/17;000000;312.3500000
ROSN;D;12/05/17;000000;307.5000000
ROSN;D;15/05/17;000000;314.1500000
ROSN;D;16/05/17;000000;312.9000000
ROSN;D;17/05/17;000000;311.5500000
ROSN;D;18/05/17;000000;305.0000000
ROSN;D;19/05/17;000000;306.1000000
ROSN;D;22/05/17;000000;307.3000000
ROSN;D;23/05/17;000000;312.4000000
ROSN;D;24/05/17;000000;307.0000000
ROSN;D;25/05/17;000000;306.4000000
ROSN;D;26/05/17;000000;304.0000000
ROSN;D;29/05/17;000000;307.2500000
ROSN;D;30/05/17;000000;305.0000000
ROSN;D;31/05/17;000000;301.5500000
ROSN;D;01/06/17;000000;301.4500000
ROSN;D;02/06/17;000000;301.0000000
ROSN;D;05/06/17;000000;305.0000000
ROSN;D;06/06/17;000000;302.5500000
ROSN;D;07/06/17;000000;308.0000000
ROSN;D;08/06/17;000000;307.5000000
ROSN;D;09/06/17;000000;306.0000000
ROSN;D;13/06/17;000000;312.1500000
ROSN;D;14/06/17;000000;304.3000000
ROSN;D;15/06/17;000000;301.6000000
ROSN;D;16/06/17;000000;306.5000000
ROSN;D;19/06/17;000000;311.0000000
ROSN;D;20/06/17;000000;316.0000000
ROSN;D;21/06/17;000000;318.4000000
ROSN;D;22/06/17;000000;319.0000000
ROSN;D;23/06/17;000000;322.0000000
ROSN;D;26/06/17;000000;321.0000000
ROSN;D;27/06/17;000000;327.3000000
ROSN;D;28/06/17;000000;332.4000000
ROSN;D;29/06/17;000000;333.0000000
ROSN;D;30/06/17;000000;323.0000000
ROSN;D;03/07/17;000000;329.4000000
ROSN;D;04/07/17;000000;332.4000000
ROSN;D;05/07/17;000000;327.2000000
ROSN;D;06/07/17;000000;324.5000000
ROSN;D;07/07/17;000000;317.8000000
ROSN;D;10/07/17;000000;320.5000000
ROSN;D;11/07/17;000000;319.6000000
ROSN;D;12/07/17;000000;320.5500000
ROSN;D;13/07/17;000000;318.0000000
ROSN;D;14/07/17;000000;318.0000000
ROSN;D;17/07/17;000000;315.9000000
ROSN;D;18/07/17;000000;315.1000000
ROSN;D;19/07/17;000000;318.5000000
ROSN;D;20/07/17;000000;317.8500000
ROSN;D;21/07/17;000000;317.4000000
ROSN;D;24/07/17;000000;313.3000000
ROSN;D;25/07/17;000000;314.1500000
ROSN;D;26/07/17;000000;310.0000000
ROSN;D;27/07/17;000000;310.0000000
ROSN;D;28/07/17;000000;305.9000000
ROSN;D;31/07/17;000000;311.3000000
ROSN;D;01/08/17;000000;316.1000000
ROSN;D;02/08/17;000000;322.0000000
ROSN;D;03/08/17;000000;317.0000000
ROSN;D;04/08/17;000000;316.0000000
ROSN;D;07/08/17;000000;316.2500000
ROSN;D;08/08/17;000000;315.0000000
ROSN;D;09/08/17;000000;309.2500000
ROSN;D;10/08/17;000000;305.0000000
ROSN;D;11/08/17;000000;303.9500000
ROSN;D;14/08/17;000000;305.0000000
ROSN;D;15/08/17;000000;304.9000000
ROSN;D;16/08/17;000000;302.0500000
ROSN;D;17/08/17;000000;301.7500000
ROSN;D;18/08/17;000000;300.0500000
ROSN;D;21/08/17;000000;301.1000000
ROSN;D;22/08/17;000000;300.9500000
ROSN;D;23/08/17;000000;303.2000000
ROSN;D;24/08/17;000000;301.0000000
ROSN;D;25/08/17;000000;301.5000000
ROSN;D;28/08/17;000000;300.9500000
ROSN;D;29/08/17;000000;301.0000000
ROSN;D;30/08/17;000000;307.0000000
ROSN;D;31/08/17;000000;304.0000000
ROSN;D;01/09/17;000000;304.1000000
ROSN;D;04/09/17;000000;302.6000000
ROSN;D;05/09/17;000000;302.8500000
ROSN;D;06/09/17;000000;303.0000000
ROSN;D;07/09/17;000000;306.0000000
ROSN;D;08/09/17;000000;314.9500000
ROSN;D;11/09/17;000000;314.2000000
ROSN;D;12/09/17;000000;314.6000000
ROSN;D;13/09/17;000000;314.7500000
ROSN;D;14/09/17;000000;319.3000000
ROSN;D;15/09/17;000000;319.7000000
ROSN;D;18/09/17;000000;318.0000000
ROSN;D;19/09/17;000000;313.0000000
ROSN;D;20/09/17;000000;315.0000000
ROSN;D;21/09/17;000000;316.7000000
ROSN;D;22/09/17;000000;316.7000000
ROSN;D;25/09/17;000000;321.5500000
