<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;D;03/01/17;000000;180.1200000
SBER;D;04/01/17;000000;175.9500000
SBER;D;05/01/17;000000;171.9000000
SBER;D;06/01/17;000000;170.6900000
SBER;D;09/01/17;000000;168.3500000
SBER;D;10/01/17;000000;171.6000000
SBER;D;11/01/17;000000;169.0500000
SBER;D;12/01/17;000000;168.2700000
SBER;D;13/01/17;000000;164.9000000
SBER;D;16/01/17;000000;164.6600000
SBER;D;17/01/17;000000;165.9800000
SBER;D;18/01/17;000000;165.2400000
SBER;D;19/01/17;000000;166.3000000
SBER;D;20/01/17;000000;167.4900000
SBER;D;23/01/17;000000;166.7500000
SBER;D;24/01/17;000000;170.2500000
SBER;D;25/01/17;000000;170.2600000
SBER;D;26/01/17;000000;173.7900000
SBER;D;27/01/17;000000;178.9200000
SBER;D;30/01/17;000000;174.6000000
SBER;D;31/01/17;000000;172.2000000
SBER;D;01/02/17;000000;173.9000000
SBER;D;02/02/17;000000;172.8300000
SBER;D;03/02/17;000000;173.8000000
SBER;D;06/02/17;000000;172.8700000
SBER;D;07/02/17;000000;173.4700000
SBER;D;08/02/17;000000;171.2000000
SBER;D;09/02/17;000000;168.8000000
SBER;D;10/02/17;000000;165.5000000
SBER;D;13/02/17;000000;164.7000000
SBER;D;14/02/17;000000;162.7000000
SBER;D;15/02/17;000000;163.5000000
SBER;D;16/02/17;000000;166.4900000
SBER;D;17/02/17;000000;165.4900000
SBER;D;20/02/17;000000;165.4400000
SBER;D;21/02/17;000000;167.0000000
SBER;D;22/02/17;000000;165.9000000
SBER;D;24/02/17;000000;165.5100000
SBER;D;27/02/17;000000;160.9500000
SBER;D;28/02/17;000000;156.0000000
SBER;D;01/03/17;000000;160.0000000
SBER;D;02/03/17;000000;163.4000000
SBER;D;03/03/17;000000;164.4000000
SBER;D;06/03/17;000000;162.0000000
SBER;D;07/03/17;000000;160.9800000
SBER;D;09/03/17;000000;156.2000000
SBER;D;10/03/17;000000;157.5000000
SBER;D;13/03/17;000000;158.9200000
SBER;D;14/03/17;000000;157.4200000
SBER;D;15/03/17;000000;156.2000000
SBER;D;16/03/17;000000;158.3500000
SBER;D;17/03/17;000000;161.1500000
SBER;D;20/03/17;000000;163.8000000
SBER;D;21/03/17;000000;162.9800000
SBER;D;22/03/17;000000;162.9200000
SBER;D;23/03/17;000000;164.1500000
SBER;D;24/03/17;000000;164.5200000
SBER;D;27/03/17;000000;162.6900000
SBER;D;28/03/17;000000;163.6600000
SBER;D;29/03/17;000000;163.2200000
SBER;D;30/03/17;000000;163.5000000
SBER;D;31/03/17;000000;159.8000000
SBER;D;03/04/17;000000;161.8000000
SBER;D;04/04/17;000000;163.5000000
SBER;D;05/04/17;000000;168.1000000
SBER;D;06/04/17;000000;167.4900000
SBER;D;07/04/17;000000;161.4900000
SBER;D;10/04/17;000000;155.2000000
SBER;D;11/04/17;000000;156.0000000
SBER;D;12/04/17;000000;150.2800000
SBER;D;13/04/17;000000;152.0000000
SBER;D;14/04/17;000000;149.2400000
SBER;D;17/04/17;000000;153.9900000
SBER;D;18/04/17;000000;153.4000000
SBER;D;19/04/17;000000;153.6000000
SBER;D;20/04/17;000000;158.2100000
SBER;D;21/04/17;000000;159.5900000
SBER;D;24/04/17;000000;162.5000000
SBER;D;25/04/17;000000;162.5500000
SBER;D;26/04/17;000000;165.0500000
SBER;D;27/04/17;000000;164.6900000
SBER;D;28/04/17;000000;165.2000000
SBER;D;02/05/17;000000;166.6400000
SBER;D;03/05/17;000000;164.7100000
SBER;D;04/05/17;000000;165.5000000
SBER;D;05/05/17;000000;165.8000000
SBER;D;10/05/17;000000;170.8000000
SBER;D;11/05/17;000000;169.9700000
SBER;D;12/05/17;000000;167.7000000
SBER;D;15/05/17;000000;171.3500000
SBER;D;16/05/17;000000;170.6600000
SBER;D;17/05/17;000000;169.2400000
SBER;D;18/05/17;000000;166.5000000
SBER;D;19/05/17;000000;168.8700000
SBER;D;22/05/17;000000;168.0300000
SBER;D;23/05/17;000000;166.3100000
SBER;D;24/05/17;000000;165.7000000
SBER;D;25/05/17;000000;164.0500000
SBER;D;26/05/17;000000;160.7000000
SBER;D;29/05/17;000000;163.9000000
SBER;D;30/05/17;000000;161.6400000
SBER;D;31/05/17;000000;155.9300000
SBER;D;01/06/17;000000;153.0000000
SBER;D;02/06/17;000000;157.1400000
SBER;D;05/06/17;000000;154.7000000
SBER;D;06/06/17;000000;152.8000000
SBER;D;07/06/17;000000;152.8200000
SBER;D;08/06/17;000000;151.9300000
SBER;D;09/06/17;000000;150.1300000
SBER;D;13/06/17;000000;146.0000000
SBER;D;14/06/17;000000;143.0000000
SBER;D;15/06/17;000000;139.0000000
SBER;D;16/06/17;000000;141.6300000
SBER;D;19/06/17;000000;145.0000000
SBER;D;20/06/17;000000;144.9000000
SBER;D;21/06/17;000000;143.4900000
SBER;D;22/06/17;000000;144.2500000
SBER;D;23/06/17;000000;144.1000000
SBER;D;26/06/17;000000;144.4900000
