	distant	talkatv	carelss	hardwrk	anxious	agreebl	tense	kind	opposng	relaxed	disorgn	outgoin	approvn	shy	discipl	harsh	persevr	friendl	worryin	respnsi	contrar	sociabl	lazy	coopera	quiet	organiz	criticl	lax	laidbck	withdrw	givinup
distant	1,00																														
talkatv	-0,44	1,00																													
carelss	0,18	0,07	1,00																												
hardwrk	-0,16	0,17	-0,24	1,00																											
anxious	0,23	-0,10	0,18	0,06	1,00																										
agreebl	-0,12	0,10	0,01	0,04	0,06	1,00																									
tense	0,24	-0,11	0,12	0,12	0,68	-0,07	1,00																								
kind	-0,20	0,12	-0,30	0,22	0,03	0,44	-0,07	1,00																							
opposng	0,20	0,08	0,18	-0,09	0,19	-0,20	0,23	-0,19	1,00																						
relaxed	-0,14	0,04	0,00	-0,14	-0,42	0,29	-0,56	0,16	-0,10	1,00																					
disorgn	0,13	0,07	0,62	-0,40	0,07	0,02	0,04	-0,21	0,17	0,11	1,00																				
outgoin	-0,46	0,69	-0,09	0,23	-0,14	0,14	-0,17	0,20	-0,02	0,12	-0,06	1,00																			
approvn	-0,26	0,26	-0,16	0,13	-0,08	0,39	-0,13	0,39	-0,19	0,18	-0,08	0,39	1,00																		
shy	0,34	-0,54	0,13	-0,28	0,16	-0,06	0,22	-0,10	-0,03	-0,10	0,11	-0,65	-0,20	1,00																	
discipl	0,02	0,01	-0,30	0,56	0,03	0,06	0,10	0,16	-0,10	-0,11	-0,37	0,02	0,18	-0,07	1,00																
harsh	0,23	0,05	0,32	-0,04	0,16	-0,19	0,23	-0,29	0,43	-0,15	0,17	-0,17	-0,22	0,03	-0,01	1,00															
persevr	-0,08	0,16	-0,22	0,51	0,06	0,02	0,04	0,29	-0,08	-0,09	-0,29	0,21	0,17	-0,19	0,43	-0,06	1,00														
friendl	-0,43	0,38	-0,15	0,28	-0,03	0,33	-0,11	0,57	-0,18	0,13	-0,13	0,54	0,39	-0,34	0,07	-0,31	0,33	1,00													
worryin	0,17	-0,14	0,10	0,06	0,62	-0,10	0,66	-0,05	0,18	-0,47	0,04	-0,16	-0,20	0,28	-0,01	0,08	0,07	-0,04	1,00												
respnsi	-0,06	0,03	-0,49	0,50	-0,01	0,15	0,04	0,38	-0,07	-0,01	-0,46	0,10	0,17	-0,16	0,44	-0,13	0,45	0,26	0,06	1,00											
contrar	0,29	0,06	0,27	-0,06	0,20	-0,25	0,32	-0,26	0,56	-0,23	0,18	-0,11	-0,17	0,04	-0,04	0,53	-0,06	-0,20	0,18	-0,10	1,00										
sociabl	-0,54	0,55	-0,12	0,13	-0,18	0,19	-0,23	0,25	-0,08	0,18	-0,05	0,70	0,37	-0,47	-0,03	-0,14	0,09	0,54	-0,16	0,03	-0,13	1,00									
lazy	0,15	-0,07	0,41	-0,50	0,13	-0,03	0,13	-0,22	0,14	0,08	0,42	-0,22	-0,17	0,29	-0,48	0,20	-0,41	-0,20	0,20	-0,48	0,23	-0,09	1,00								
coopera	-0,26	0,08	-0,19	0,15	-0,13	0,51	-0,19	0,45	-0,28	0,25	-0,13	0,21	0,39	-0,13	0,12	-0,31	0,23	0,41	-0,12	0,27	-0,33	0,22	-0,16	1,00							
quiet	0,45	-0,59	0,05	-0,19	0,27	0,08	0,24	0,01	0,03	-0,07	0,04	-0,63	-0,16	0,72	-0,02	0,02	-0,13	-0,32	0,28	-0,03	0,11	-0,50	0,28	-0,05	1,00						
organiz	-0,17	0,02	-0,54	0,47	-0,07	-0,01	-0,03	0,33	-0,12	-0,05	-0,78	0,16	0,18	-0,17	0,43	-0,12	0,33	0,18	-0,03	0,56	-0,17	0,08	-0,46	0,16	-0,12	1,00					
criticl	0,18	-0,02	0,05	0,11	0,20	-0,21	0,24	-0,08	0,45	-0,19	-0,09	-0,11	-0,19	0,01	0,10	0,42	0,13	-0,13	0,21	0,13	0,43	-0,14	0,04	-0,20	0,08	0,13	1,00				
lax	0,05	0,01	0,27	-0,30	-0,03	0,09	-0,14	-0,08	0,02	0,28	0,36	-0,02	0,08	0,07	-0,23	0,06	-0,22	0,07	-0,08	-0,35	0,09	0,03	0,39	0,05	0,05	-0,29	-0,06	1,00			
laidbck	-0,04	0,07	0,10	-0,13	-0,26	0,19	-0,38	0,02	-0,04	0,59	0,19	0,12	0,18	-0,07	-0,12	-0,04	-0,11	0,06	-0,39	-0,20	-0,07	0,15	0,13	0,03	-0,06	-0,14	-0,13	0,38	1,00		
withdrw	0,63	-0,51	0,23	-0,16	0,28	-0,15	0,25	-0,23	0,19	-0,15	0,13	-0,59	-0,29	0,55	-0,03	0,28	-0,14	-0,48	0,25	-0,12	0,25	-0,61	0,25	-0,22	0,60	-0,19	0,19	0,06	-0,05	1,00	
givinup	0,32	-0,24	0,29	-0,31	0,27	-0,10	0,27	-0,25	0,08	-0,18	0,27	-0,35	-0,24	0,37	-0,32	0,26	-0,40	-0,32	0,26	-0,36	0,26	-0,28	0,44	-0,25	0,34	-0,30	0,07	0,20	-0,05	0,49	1,00
